text,true_label,pred_verbal,conf_verbal,correct_verbal,pred_logprob,conf_logprob,correct_logprob
"I actually just started crying while brushing my teeth due to lack of sleep, stress and test anxiety. Today's gonna be a good one... #not",1,1,0.95,1,1,1.0,1
#SchoolSystem Update #Textbook Lies to support #Evolution theory. #Tco...,0,1,0.95,0,1,0.9609375,0
"I feel faint after chasing a whippet and Lily, Libby, Gabby, Millie the cats who were playing chase in the garden #AintItFun !! #notfun",1,1,0.95,1,1,1.0,1
Just entered the @user competition for tickets to the final! Fingers crossed @user,0,1,0.95,0,1,0.92578125,0
@user returning my brand new ps4 thanks to your faulty security. #goodjob #not,1,1,0.95,1,1,1.0,1
I love when half the group is really committed and the other half just doesn't give a crap! #perfection,1,1,0.95,1,1,1.0,1
Hardest parking i've probably ever done! #screwyousmallparkinglot,0,1,0.95,0,1,1.0,0
"Decided I'd go to bed ""early"" for once. I've been laying here since 2 am. Yet the total amount of sleep I've had all week is 10 hrs. #irony",1,1,0.95,1,1,1.0,1
Always nice when a 40 year old man you don't know calls you pretty,1,1,0.95,1,1,1.0,1
"@user ""i feel bad for the American people, now we should invade their country in kill their children so we can save them""",1,1,0.95,1,1,1.0,1
"@user yup, more is definitely MORE! #fosho #merrycuteness",0,1,0.95,0,1,1.0,0
Pretty Shitty day I'm gonna be soaked and full of mud and clay #iliketogetdirty #notreally #sarcasm,1,1,0.95,1,1,1.0,1
I'm up early as I need to drive downtown to take a test bright and early this morning. Yay! #Torontotrafficisfun,1,1,0.95,1,1,0.9765625,1
I see Toledo made a good name for itself last night,1,1,0.95,1,1,0.984375,1
"Sometimes I wonder, am I the mouse, or am I the experimenter?",0,1,0.95,0,1,1.0,0
"..@Youtube : Keeping the big channels big, and the little channels irrelevant since 2014 . #GoodJob",1,1,0.95,1,1,1.0,1
Another new politician in the state with a social science degree and a liberal arts diploma... Just what we need  #greensfail,1,1,0.95,1,1,1.0,1
@user like a group of unsuccessful idiots who can't even manage to scrounge up a quarter? That's pretty cool I guess Chris,1,1,0.95,1,1,0.9609375,1
Christmas music on the stair master #SundayFunday,1,1,0.95,1,1,1.0,1
#finalsweekgotmelike Ugh. Make it stop. #finals #finalsweek #EWU,0,1,0.95,0,0,0.8203125,1
I'm glad Andy can tweet all day but not text me back.  #loved,1,1,0.95,1,1,1.0,1
@user Definitely not...racism is systematic and entrenched in every American institution..also in black/white binary construction,0,1,0.95,0,1,0.984375,0
"#notcies #eu European Council: Press conference by Donald TUSK, Jean-Claude JUNCKER,, and Matteo RENZI,",0,0,0.95,1,0,0.77734375,1
"@user Hey, he DOES have the word ""ban"" on his home page like two or three times though. #AcknowledgementIsFirstStep",1,1,0.95,1,1,1.0,1
"@user You were my cup of tea, but you were a total ass so I switched to coffee.✌️ 😂🙌",0,1,0.95,0,1,1.0,0
"@user @user .@SLMPD has warned @user about Bassem.Heck, they might already know him! #Ferguson #NYC",0,1,0.95,0,1,0.9921875,0
"Laborers in the San Joaquin Valley, one of the most productive farming regions in the world, suffer from food insecurity. #irony #poverty",1,1,0.95,1,1,1.0,1
@user 1/5th. Just like in the real world!,1,1,0.95,1,1,1.0,1
@user great Christmas.,1,1,0.95,1,1,0.6796875,1
"Love ya Jerry, but what the heck was that?",0,1,0.95,0,1,1.0,0
IS IT FRIDAY? *heavy sigh* Nooo. It Is totally Wednesday~! What a MESS. Wait 2 more days.,0,1,0.95,0,1,1.0,0
tough day in sun #kitsch#funny @ Costa Teguise Lanzarote,0,1,0.95,0,1,0.73046875,0
@user I think that was the joke.,1,1,0.95,1,1,0.9921875,1
"@user T-Mobile's CEO thinks the Apple Watch is going to be huge <-- I do, too.",0,1,0.95,0,1,0.96875,0
@user Probably a Nigerian.,1,1,0.95,1,1,0.8515625,1
#notcies #eu End to fish discards delayed - End to fish discards delayed Copyright EP 2013. From: Eu Reporter Vie...,0,1,0.95,0,1,0.8203125,0
Long Gold Layered Pipe Necklace Set $20|Leave email for invoice,0,0,0.95,1,0,0.8203125,1
Lol RT @user Wouldn't surprise me if Soldado bangs in a hatrick and we win 0-3 against Chelsea tonight .. The legend is back,0,1,0.95,0,1,1.0,0
When you show your valid 16-25 railcard and shes charges you full price anyway. Great service from Tamworth  @user,1,1,0.95,1,1,1.0,1
@user @user #not sure who will take it home?,0,1,0.95,0,1,0.984375,0
"The word ""Taliban"" comes from the root word ""Talib"" which means a student. |#PeshawarAttack #DeathToTaliban #DeathToISIS",1,1,0.95,1,1,0.8828125,1
@user @user 47% for Serie A ? Is this for real ?,0,1,0.95,0,1,0.9921875,0
@user Hope the header didn't mess up that barnet,0,1,0.95,0,1,0.92578125,0
@user This year's class picture is so awesome. Really awesome!  👊  hahahahaha 😂,1,1,0.95,1,1,0.9921875,1
"Dear Manila, I'm with your traffic twin - Bangkok! yahooo  @ Sirat Express way",1,1,0.95,1,1,0.96875,1
This history essay is literally shitting on me.,0,1,0.95,0,1,1.0,0
I have three test and a two dance performances tomorrow!!📚📖💃💃👯  #EasyDay,1,1,0.95,1,1,1.0,1
Now I see why this play wasn't reviewed. Because it wasn't even close.,1,1,0.95,1,1,1.0,1
I give people a break 2 say that without my supporting cast that none of my works would of made it is tosh. Did nobody get #Extras,1,1,0.95,1,1,0.9609375,1
i hate waking up in the mornings 😒#basicbrianna #not #an #early #bird,0,1,0.95,0,1,0.8515625,0
"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy",1,1,0.95,1,1,0.9609375,1
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",0,1,0.95,0,1,0.95703125,0
wow they seem to be so turnt,1,1,0.95,1,1,1.0,1
Just got yelled at by proxy. It's going to be an excellent day. #sarcasm,1,1,0.95,1,1,1.0,1
The pure #reality of .,0,1,0.95,0,1,0.77734375,0
Hoar frost is challenging for some to spell.,0,1,0.95,0,1,0.8203125,0
Experts Doubt North Korea Hacked Sony « CBS Dallas / Fort Worth #hacker #hacked,1,1,0.95,1,0,0.73046875,0
"@user @user If you need a #dev #environmnet #then  #a #great #pick. For #regular #web #stuff, I #do #like #it",0,1,0.95,0,1,0.94140625,0
@user kabhi I'm messier than usual messy wesay 😣 I need chai & I'm resting for last 2 days. May be this is the reason.,0,1,0.95,0,1,0.984375,0
Oh god I just so happens that i love really LOVE slow internet #slowinternet,1,1,0.95,1,1,1.0,1
@user and he can't find himself a pair that would fit  🙈🙊🙊😂,1,1,0.95,1,1,1.0,1
Gotta love a Romanian playing an improvised version of jingle bells in a minor key. Really sets the festive mood. #not,1,1,0.95,1,1,1.0,1
@user I know ...,1,0,0.95,0,0,0.73046875,0
@user so ...still no response from @user #greatcustomerrelations,1,1,0.95,1,1,1.0,1
"Grace is a free spirited 8 yr old with the most humble heart. Aspiring model/actress, she also enjoys #piano and dance.Follow> @user",0,0,0.95,1,0,0.73046875,1
Gotta baps that hoe thou,0,1,0.95,0,0,0.5625,1
@user wow that's impressive...I have to force myself to go just as I will be doing later! #gymfanatic,1,1,0.95,1,1,1.0,1
Sorry this doesn't make any sense why make it even more tough? That's going to produce more players..,1,1,0.95,1,1,0.95703125,1
#America #continues to show us that it is  here for #BlackPeople even though,0,1,0.95,0,1,1.0,0
#TeenAnalCasting #Highway Highway 69 &#8211; Disturbed (Dedicated to a girl raped on 16/12/12),0,1,0.95,0,1,0.9921875,0
Just flossed and then ate right after #inconvenient,1,1,0.95,1,1,0.984375,1
"you do know the ""hands up, dont shoot"" thing has been proven FALSE right? @user @user",0,1,0.95,0,1,0.90234375,0
Lots if love for #Miranda,1,1,0.95,1,0,0.5625,0
"There's a reason I don't tell my parents anything, cause I always get THE most positive responses",1,1,0.95,1,1,1.0,1
@user rollins was so pissed off haha,0,1,0.95,0,1,0.73046875,0
"The last day of the year and I will be tweeting on my major highpoints of the year ...good, bad and ugly",0,1,0.95,0,1,0.62109375,0
"#Irony: ""The elections are not over zero VAT, but about whether there will be a Zionist or extremist country here"".",1,1,0.95,1,1,1.0,1
its only been 30 mins in class n i already wana kio myself .a.mornin.person,0,1,0.95,0,1,0.96875,0
@user oh so someone got in trouble for making fun of the people who behead innocent people...nice,1,1,0.95,1,1,0.9921875,1
Those were some great last minute substitutions @user,1,1,0.95,1,1,1.0,1
Can I get an AMEN??!,0,1,0.95,0,1,0.9765625,0
Well @user I watched'Making of' clip about Drive Rescored. Now I see how easily composers do it!  #,1,1,0.95,1,1,1.0,1
I've completed Day 3 of the 30 Day Ab Challenge workout. Join me and download the app at,0,1,0.95,0,1,0.8203125,0
How does #bigdata and #analytics look compared to the #cynefin cause/effect decision framework?,0,1,0.95,0,1,0.5,0
"Is ""I have to go...my gelding is struggling with dystocia"" a valid excuse...I just want to see the (lack of) reaction #whenyouseeit",1,1,0.95,1,1,0.984375,1
#TeenAnalCasting #VIRGIN VIRGIN ] cute teenage virgin playing in her hotel room in tight blue gstring underwear!,0,1,0.95,0,1,1.0,0
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,0,1,0.95,0,1,0.95703125,0
Gawd! I love 9am lectures and 4-6pm lectures.,1,1,0.95,1,1,1.0,1
@user if it got the attention of the smartass to comment that.. Didnt it work anyway?? #irony,1,1,0.95,1,1,1.0,1
@user @user I don't think I've ever seen Love Actually all the way through. I tried once last year. I don't remember it.,0,1,0.95,0,1,0.95703125,0
So that went well,1,1,0.95,1,1,1.0,1
"Looking for @user practitioners... Anyone out there, or recommendations?",0,0,0.95,1,0,0.6796875,1
Well it's always a good time losing at the Bay... @user @user @user,1,1,0.95,1,1,1.0,1
Yay for days off. #coffee #HarryPotter #christmasbreak #morning,0,0,0.95,1,1,0.77734375,0
@user hmmm interesting 'jury's out' but edging towards the right side of 'favourable' !! #hopethathelps,0,1,0.95,0,1,1.0,0
#indonesian#czech#mix#girl#with#my#boy#elvis#im#single by mcrodyn,0,0,0.95,1,1,0.5625,0
Trying to eat crackers on the quiet floor likeee.. Maybe if I chew slower no one will notice..#not,1,1,0.95,1,1,0.9921875,1
Can't wait to see that he has not talked to me and that he will never do it.,1,1,0.95,1,1,1.0,1
"@user @user Hmmm, Next year we'll be saying, teams that moved from SD to LA.",1,1,0.95,1,1,0.9921875,1
"Wow.. #shocker  RT @user Dick Cheney on CIA torture: ""I'd do it again in a minute""",1,1,0.95,1,1,1.0,1
I didn't know the story of Noah had transformers in it. Man the modern biblical tale killsssss it.  #whatarethelivingrockpeoplefor,1,1,0.95,1,1,1.0,1
Thank you @user  Requiring Facebook to participate in Twitch Chat is really a good way to push away interested players.,0,1,0.95,0,1,1.0,0
@user his daughter is painting his toes! That is a parenting WIN in my book.,0,1,0.95,0,1,0.9921875,0
"I guess Paul didn't have buns, hon. #EatenAlive #not @user",1,1,0.95,1,1,1.0,1
I always LOVED that my family was the last one to open presents,1,1,0.95,1,1,1.0,1
@user @user ^^^^ IMAGINE THAT? Never would have guessed,1,1,0.95,1,1,0.9921875,1
. which is why i've visited #pakistan as many times as i have .. sez @user,1,1,0.95,1,1,0.9609375,1
@user untrue - its Cutler's fault,0,1,0.95,0,1,0.95703125,0
AHHH WINNER AND EPIK HIGH. #2014MAMA,0,1,0.95,0,1,0.984375,0
@user @user @user Remember when Pres. spoke of how great America is and how strong we the people are if we work together?,0,1,0.95,0,1,0.984375,0
You are most welcome! Loved the post :D @user,0,0,0.95,1,0,0.96875,1
The #Gophers aren't nervous. #SammyCommentary #Gophers,0,1,0.95,0,1,0.9609375,0
The First NSFW Look At Jessica Cameron's MANIA via @user @user @user,0,1,0.95,0,1,0.62109375,0
How were your #holidays? We'd love to hear all about them!,0,1,0.95,0,0,0.77734375,1
Sorkin identified the 'attack on free speech' from Sony hackers before attacking the media for publishing the leaks  #SonyHack,1,1,0.95,1,1,0.96875,1
"@user but if you feel like it's relevant don't worry about the word limit man, at least you're doing it",0,1,0.95,0,1,0.984375,0
marty posts FACTS with PROOF you? you make shit up @user @user @user @user,0,1,0.95,0,1,0.77734375,0
Harry's literally such a good person it hurts my heart BYE #InternationalHarryStylesDay,0,1,0.95,0,1,1.0,0
@user @user #apologies *scoffs humble pie*,0,1,0.95,0,1,1.0,0
@user @user @user you talk about biased behavior. go read some of the paid articles about paycoin.,1,1,0.95,1,1,0.96875,1
"Everyone has got a selfie stick this year. I've had one for ages, just saying  #mainsteam #TrendSetter",0,1,0.95,0,1,1.0,0
Taking the Christmas lights down in the swamp will be a blast.,1,1,0.95,1,1,1.0,1
Don't you just love those people who won't shut up in class then hold everyone back by asking the teacher to repeat answers? #sarcasm,1,1,0.95,1,1,1.0,1
